id, l_j1, l_j2, l_j3, l_j4, r_j1, r_j2, r_j3, r_j4, name
1, 0, 180, 180,180, 0, 180, 180,180,START_ARMS
2, 0.7, 0, 0, 0,         0.85,   0,    0, 0,  START_TOWERS
3, 0.7, 0, 0, 0,         0.85,   0,    0, 0,  MID_TOWER
3, 0, 90, 90, 90,        0,      0,    0, 0,  MID_TOWER
3, 0, 0, 0, 0,           0,    270,  270, 270,MID_TOWER
4, 0.7, 180, 180, 180,   0.8,  180, 180, 180, TUCK
4, 0  , 120, 120, 120,   0,      0, 0, 0,     TUCK
4, 0   , 90, 90, 90,      0,      0, 0, 0,    TUCK
4, 0, 0, 0, 0,           0.9,  200, 200, 200, TUCK
4, 0, 0, 0, 0,           0  ,  250, 250, 250, TUCK
4, 0, 0, 0, 0,           0,    270, 270, 270, TUCK
5, 0, 0, 0, 0,          0,     180, 180, 90,  R_CAM_SIDE_LOW
5, 0, 0, 0, 0,          0,     270, 180, 90,  R_CAM_SIDE_LOW
5, 0, 0, 0, 0,          0.8,     0, 0, 0,     R_CAM_SIDE_LOW
6, 0, 0, 0, 0,          0,     180, 180, 90,  R_CAM_SIDE_HI
6, 0, 0, 0, 0,          0,     270, 180, 90,  R_CAM_SIDE_HI
6, 0, 0, 0, 0,          1.2,     0, 0, 0,     R_CAM_SIDE_HI
7, 0, 0, 0, 0,          0,     193, 250, 86,  R_CAM_MID_LOW
7, 0, 0, 0, 0,          0.8,     0, 0, 0,     R_CAM_MID_LOW
8, 0, 0, 0, 0,          0,     193, 250, 86,  R_CAM_MID_HI
8, 0, 0, 0, 0,          1.2,     0, 0, 0,     R_CAM_MID_HI
9, 0, 0, 0, 0,          0,     193, 250, 86,  R_CAM_MID_LEFT
10, 0, 0, 0, 0,         0,     193, 250, 86,  R_CAM_MID_RIGHT
